Airport_IATA,Airport_Name,Country_Code,Country_Name,Latitude,Longitude
PKE,Parkes,AU,Australia,-33.1314,148.2392
PKT,Port Keats,AU,Australia,-14.25,129.5333
PLO,Port Lincoln Poonindie,AU,Australia,-34.6053,135.8803
PQQ,Port Macquarie,AU,Australia,-31.4356,152.8622
PRD,Pardoo Station,AU,Australia,-20.1333,119.5833
PTI,Port Douglas Heliport,AU,Australia,-16.4836,145.4514
PTJ,Portland,AU,Australia,-38.3194,141.4667
PUG,Port Augusta,AU,Australia,-32.5069,137.7167
QBW,Batemans Bay Off-Line Point,AU,Australia,-35.7167,150.1833
QDN,Eden Off-Line Point,AU,Australia,-37.0667,149.9
QEL,Wellington Off-Line Point,AU,Australia,-32.55,148.95
QIY,Bedarra Island Off-Line Point,AU,Australia,-18.0,146.1333
QJD,Jindabyne Off-Line Point,AU,Australia,-36.4194,148.6333
QLE,Leeton Bus Station,AU,Australia,-34.55,146.4
QPV,Perisher Valley Bus Station,AU,Australia,-37.5894,148.6167
QRM,Narromine Off-Line Pt,AU,Australia,-32.2333,148.25
QRR,Warren Off-Line Pt,AU,Australia,-31.7,147.8333
QRX,Narooma Off-Line Pt,AU,Australia,-36.2333,150.05
QTH,Thredbo Bus Station,AU,Australia,-36.4833,148.3167
QTO,Skitube Off-Line Point,AU,Australia,-36.4667,148.4667
QWL,Crackenback Village Bus Station,AU,Australia,-36.4667,148.4833
RHL,Roy Hill,AU,Australia,-22.6333,119.9667
RKY,Rokeby,AU,Australia,-13.65,142.6167
RTP,Rutland Plains,AU,Australia,-15.6,141.8333
RTS,Rottnest Island,AU,Australia,-32.0064,115.5397
RTY,Merty Merty,AU,Australia,-29.0,138.7333
RVT,Ravensthorpe,AU,Australia,-33.7972,120.2103
SBR,Saibai Island,AU,Australia,-9.3786,142.625
